MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,IVV,IVV,IVV,IVV,IVV,IVV
HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
120.82,120.22,117.09,117.135,177073,29854446,18.42998157,18.267981732,17.89664877,18.17331516,63312,89206559.20655921,286.67700117,286.17768567,282.10327119000004,282.12324381,22015,3615191
119.59,117.05,117.04,119.5,216929,33624528,18.18664848,17.635315697999996,17.5999824,18.171981828,94417,131184266.18426618,285.31886301,280.77509196000005,280.68521517,284.72967072,47484,6540753
118.01,117.66,116.3224,116.56,191853,27067117,17.545315788,17.361315972,16.963983036,17.313982686,105066,153225588.2255882,281.6936327538,280.52543421,279.14732343,280.38562587,33363,4726544
118.705,117.91,116.85,118.62,187012,26097665,18.017315316,17.851315482,17.628649038000002,17.629315704,75668,110264330.26433025,283.7007812007,282.57262776,281.06469495,282.48275097000004,27549,4222924
118.21,116.77,115.5215,117.875,165643,22733427,18.357981642,18.321981677999997,17.87890212108,17.91664875,85399,131687621.6876217,283.27166946000006,281.19451698,279.451905885,282.63254562,24397,3437318
117.58,116.93,116.13,117.44,133564,18334755,18.688647978,18.574648092,18.339981660000003,18.477314856000003,68234,101611496.61149661,282.71243610000005,282.30299739000003,280.57536576,281.86359975,18526,2380749
118.32,117.94,116.96,118.07,135651,25399752,18.677314656000004,18.657314676000002,18.2999817,18.57998142,63667,89870159.87015986,284.35019094,284.17043736,282.64253192999996,283.92077961,28151,4331266
119.1085,119.02,118.1,118.95,139648,22789103,19.279980719999998,19.278647388,18.7520479146,18.841314492000002,85531,121656706.65670666,287.68561848,287.45593335,285.95798685000005,286.24758984,25361,4170709
119.48,119.19,118.52,119.06,113157,18142297,19.295980704,19.058647607999998,18.925314408000002,19.21998078,59790,82184182.18418218,287.76550896000003,287.52583752000004,286.64704224,287.57576907000004,21921,7162276
120.43,119.97,119.15,119.86,145346,22860744,19.744646922,19.453980546,19.144647522,19.154647512,85612,118948078.94807895,289.3034007,288.04512564000004,287.281172925,288.85401675,24393,3438957
120.23,119.36,118.38,120.1,144204,20112848,18.079981919999998,17.851982148,17.372649294,17.459315873999998,299194,355811290.8112908,288.99382509,288.73418103,287.55579645,288.34471494,26871,3422406
120.23,119.89,119.37,119.39,103321,15826245,18.40664826,18.330648336,17.740648926000002,17.990648676000003,132667,195574050.57405058,290.16222336000004,290.05237395,289.14361974,289.46318166000003,17854,3928527
120.02,119.93,118.64,119.81,104368,15116186,18.743981256,18.21331512,18.029315304,18.512648154,100256,156156696.15669614,290.45182635000003,290.37193587,288.91393461,289.63294893,21310,2492437
119.54,119.28,118.58,118.63,119225,17611981,18.333315,18.153981846,17.973982026,18.109981889999997,56968,88560553.56055357,289.6257587868,288.87398937,288.26482446000006,289.33335963,28608,3990718
120.35,120.19,119.54,119.76,111589,16477169,18.558648108,18.403981596,18.1928151405,18.449314884,67467,105919815.91981591,289.94252453999997,289.82268882000005,288.87398937,289.32337332000003,20994,2879179
120.85,120.33,119.92,120.54,112621,14209121,18.033315299999998,17.894648772,17.706648960000003,17.88664878,110278,147539052.53905252,290.38192218,289.8027162,289.13363343,290.37193587,21459,2581449
120.98,120.95,120.37,120.64,124455,19745143,18.129981869999998,17.84664882,17.788648878,18.014648652,67153,101189711.18971118,292.03964964,291.76003296000005,290.81133351,291.57029307000005,19214,2516226
121.58,121.05,120.57,120.94,112378,15792572,17.925315408,17.758648907999998,17.241982758000002,17.908648758,109070,150578835.57883558,291.90982761000004,291.52036152000005,290.64156624000003,291.83992344,22298,3124788
121.65,120.77,120.1,121.64,111986,14071787,18.333315,18.223981776,17.647982352000003,17.71664895,80303,109094059.0940591,292.57891038,291.74006034,291.06099126,292.51899252000004,24514,3759112
121.85,121.77,120.54,121.24,137781,19300938,18.319315014,18.081981918,17.902315431,18.31664835,55079,76897096.89709689,292.98834909,290.97111447000003,290.54170314000004,292.97836278,30210,4342988
123.52,123.37,121.3018,122.19,162839,27990998,18.322648343999997,18.217315115999998,17.98331535,18.081981918,54880,88144963.14496313,291.87986867999996,291.600252,290.22214122,291.69012878999996,24085,4367515
